Date,Promotion,Event Name,Location 1,Location 2
Dec 10th 2013,WWE,Main Event Taping,Portland,Oregon
Dec 9th 2013,WWE,Monday Night Raw - 2013 Slammy Awards,Seattle,Washington
Dec 8th 2013,WWE,WWE Live,Yakima,Washington
Dec 8th 2013,WWE,WWE Live,Spokane,Washington
Dec 7th 2013,WWE,WWE Live,Sacramento,California
Dec 6th 2013,WWE,WWE Live,Stockton,California
Dec 3rd 2013,WWE,Smackdown! Taping,Tulsa,Oklahoma
Dec 3rd 2013,WWE,Main Event Taping,Tulsa,Oklahoma
Dec 2nd 2013,WWE,Superstars Taping,Oklahoma City,Oklahoma
Dec 2nd 2013,WWE,Monday Night Raw,Oklahoma City,Oklahoma
Nov 26th 2013,WWE,Smackdown! Taping,Uncasville,Connecticut
Nov 26th 2013,WWE,Main Event Taping,Uncasville,Connecticut
Nov 25th 2013,WWE,Monday Night Raw,Uniondale,New York
Nov 25th 2013,WWE,Superstars Taping,Uniondale,New York
Nov 24th 2013,WWE,Survivor Series '13,Boston,Massachusetts
Nov 19th 2013,WWE,Smackdown! Taping,Atlanta,Georgia
Nov 19th 2013,WWE,Main Event Taping,Atlanta,Georgia
Nov 18th 2013,WWE,Monday Night Raw,Nashville,Tennessee
Nov 18th 2013,WWE,Superstars Taping,Nashville,Tennessee
Nov 16th 2013,WWE,WWE Live,Minehead,England
Nov 16th 2013,WWE,WWE Live,Wien,Wien
Nov 15th 2013,WWE,WWE Live,London,England
Nov 15th 2013,WWE,WWE Live,Marseille,Marseille
Nov 14th 2013,WWE,WWE Live,Leeds,England
Nov 14th 2013,WWE,WWE Live,Rouen,Normandy
Nov 13th 2013,WWE,WWE Live,Nottingham,England
Nov 13th 2013,WWE,WWE Live,Zurich,Canton of Zurich
Nov 12th 2013,WWE,WWE Live,Newcastle-upon-Tyne,England
Nov 12th 2013,WWE,Smackdown! Taping,Manchester,England
Nov 12th 2013,WWE,Main Event Taping,Manchester,England
Nov 11th 2013,WWE,Monday Night Raw Taping,Manchester,England
Nov 11th 2013,WWE,Superstars Taping,Manchester,England
Nov 10th 2013,WWE,WWE Live,Cardiff,Wales
Nov 10th 2013,WWE,WWE Live,Glasgow,Scotland
Nov 9th 2013,WWE,WWE Live,Birmingham,England
Nov 9th 2013,WWE,WWE Live,Munich,Bavaria
Nov 8th 2013,WWE,WWE Live,Glasgow,Scotland
Nov 8th 2013,WWE,WWE Live,Brüssel,Brussels-Capital Region
Nov 7th 2013,WWE,WWE Live,Dublin,Leinster
Nov 6th 2013,WWE,WWE Live,Belfast,Northern Ireland
Nov 6th 2013,WWE,WWE Live,Columbia,South Carolina
Nov 5th 2013,WWE,Smackdown! Taping,Charlotte,North Carolina
Nov 5th 2013,WWE,Main Event Taping,Charlotte,North Carolina
Nov 4th 2013,WWE,Monday Night Raw,Greenville,South Carolina
Nov 4th 2013,WWE,Superstars Taping,Greenville,South Carolina
Oct 29th 2013,WWE,Smackdown! Taping,Tampa,Florida
Oct 29th 2013,WWE,Main Event Taping,Tampa,Florida
Oct 28th 2013,WWE,Monday Night Raw,Orlando,Florida
Oct 28th 2013,WWE,Superstars Taping,Orlando,Florida
Oct 27th 2013,WWE,Hell in a Cell '13,Miami,Florida
Oct 22nd 2013,WWE,Smackdown! Taping,Birmingham,Alabama
Oct 22nd 2013,WWE,Main Event Taping,Birmingham,Alabama
Oct 21st 2013,WWE,Monday Night Raw,Memphis,Tennessee
Oct 21st 2013,WWE,Superstars Taping,Memphis,Tennessee
Oct 20th 2013,WWE,WWE Live,Carbondale,Illinois
Oct 20th 2013,WWE,WWE Live,Tupelo,Mississippi
Oct 19th 2013,WWE,WWE Live,Louisville,Kentucky
Oct 19th 2013,WWE,WWE Live,Monterrey,Nuevo León
Oct 18th 2013,WWE,WWE Live,Mexico City,Federal District
Oct 18th 2013,WWE,WWE Live,Knoxville,Tennessee
Oct 17th 2013,WWE,WWE Live,Guadalajara,Jalisco
Oct 16th 2013,WWE,WWE Live,Santiago de Queretaro,Queretaro
Oct 15th 2013,WWE,Smackdown! Taping,Kansas City,Missouri
Oct 15th 2013,WWE,Main Event Taping,Kansas City,Missouri
Oct 14th 2013,WWE,Superstars Taping,St. Louis,Missouri
Oct 14th 2013,WWE,Monday Night Raw,St. Louis,Missouri
Oct 13th 2013,WWE,WWE Live,Philadelphia,Pennsylvania
Oct 12th 2013,WWE,WWE Live,Providence,Rhode Island
Oct 12th 2013,WWE,WWE In Abu Dhabi - Day 3,Abu Dhabi,Emirate of Abu Dhabi
Oct 11th 2013,WWE,WWE In Abu Dhabi - Day 2,Abu Dhabi,Emirate of Abu Dhabi
Oct 10th 2013,WWE,WWE In Abu Dhabi - Day 1,Abu Dhabi,Emirate of Abu Dhabi
Oct 8th 2013,WWE,Smackdown! Taping,Columbus,Ohio
Oct 8th 2013,WWE,Main Event Taping,Columbus,Ohio
Oct 7th 2013,WWE,Monday Night Raw,Pittsburgh,Pennsylvania
Oct 7th 2013,WWE,Superstars Taping,Pittsburgh,Pennsylvania
Oct 6th 2013,WWE,Battleground '13,Buffalo,New York
Oct 5th 2013,WWE,WWE Live,Albany,New York
Oct 5th 2013,WWE,WWE Live,Rochester,New York
Oct 4th 2013,WWE,WWE Live,Syracuse,New York
Oct 1st 2013,WWE,Smackdown! Taping,Baton Rouge,Louisiana
Oct 1st 2013,WWE,Main Event Taping,Baton Rouge,Louisiana
Sep 30th 2013,WWE,Monday Night Raw,Biloxi,Mississippi
Sep 30th 2013,WWE,Superstars Taping,Biloxi,Mississippi
Sep 29th 2013,WWE,WWE Live,New Orleans,Louisiana
Sep 28th 2013,WWE,WWE Live,Huntsville,Alabama
Sep 28th 2013,WWE,WWE Live,Dallas,Texas
Sep 27th 2013,WWE,WWE Live,Denver,Colorado
Sep 24th 2013,WWE,Smackdown! Taping,Milwaukee,Wisconsin
Sep 24th 2013,WWE,Main Event Taping,Milwaukee,Wisconsin
Sep 23rd 2013,WWE,Monday Night Raw,Chicago,Illinois
Sep 23rd 2013,WWE,Superstars Taping,Chicago,Illinois
Sep 22nd 2013,WWE,WWE Live,Springfield,Illinois
Sep 22nd 2013,WWE,WWE Live,Hidalgo,Texas
Sep 21st 2013,WWE,WWE Live,Fort Wayne,Indiana
Sep 21st 2013,WWE,WWE Live,Hidalgo,Texas
Sep 20th 2013,WWE,WWE Live,Lexington,Kentucky
Sep 17th 2013,WWE,Smackdown! Taping,Cincinnati,Ohio
Sep 17th 2013,WWE,Main Event Taping,Cincinnati,Ohio
Sep 16th 2013,WWE,Monday Night Raw,Cleveland,Ohio
Sep 16th 2013,WWE,Superstars Taping,Cleveland,Ohio
Sep 15th 2013,WWE,Night of Champions '13,Detroit,Michigan
Sep 14th 2013,WWE,WWE Live,London,Ontario
Sep 14th 2013,WWE,WWE Live,Saginaw,Michigan
Sep 13th 2013,WWE,WWE Live,East Lansing,Michigan
Sep 10th 2013,WWE,Smackdown! Taping,Ottawa,Ontario
Sep 10th 2013,WWE,Main Event Taping,Ottawa,Ontario
Sep 9th 2013,WWE,Monday Night Raw,Toronto,Ontario
Sep 9th 2013,WWE,Superstars Taping,Toronto,Ontario
Sep 8th 2013,WWE,WWE Live,Brooklyn,New York
Sep 8th 2013,WWE,WWE Live,Hamilton,Ontario
Sep 7th 2013,WWE,WWE Live,Windsor,Ontario
Sep 7th 2013,WWE,WWE Live,East Rutherford,New Jersey
Sep 6th 2013,WWE,WWE Live,Montreal,Quebec
Sep 3rd 2013,WWE,Smackdown! Taping,Minneapolis,Minnesota
Sep 3rd 2013,WWE,Main Event Taping,Minneapolis,Minnesota
Sep 2nd 2013,WWE,Monday Night Raw,Des Moines,Iowa
Sep 2nd 2013,WWE,Superstars Taping,Des Moines,Iowa
Sep 1st 2013,WWE,WWE Live,Washington,DC
Aug 31st 2013,WWE,WWE Live,Boston,Massachusetts
Aug 27th 2013,WWE,Smackdown! Taping,Las Vegas,Nevada
Aug 27th 2013,WWE,Main Event Taping,Las Vegas,Nevada
Aug 26th 2013,WWE,Monday Night Raw,Phoenix,Arizona
Aug 26th 2013,WWE,Superstars Taping,Phoenix,Arizona
Aug 25th 2013,WWE,WWE Live,Ontario,California
Aug 25th 2013,WWE,WWE Live,Rio Rancho,New Mexico
Aug 24th 2013,WWE,WWE Live,San Diego,California
Aug 24th 2013,WWE,WWE Live,Las Cruces,New Mexico
Aug 23rd 2013,WWE,WWE Live,Fresno,California
Aug 20th 2013,WWE,Smackdown! Taping,Bakersfield,California
Aug 20th 2013,WWE,Main Event Taping,Bakersfield,California
Aug 19th 2013,WWE,Monday Night Raw,Anaheim,California
Aug 19th 2013,WWE,Superstars Taping,Anaheim,California
Aug 18th 2013,WWE,SummerSlam Axxess '13,Los Angeles,California
Aug 18th 2013,WWE,SummerSlam '13,Los Angeles,California
Aug 16th 2013,WWE,WWE Live,Portland,Oregon
Aug 13th 2013,WWE,Smackdown! Taping,San Jose,California
Aug 13th 2013,WWE,Main Event Taping,San Jose,California
Aug 13th 2013,WWE,Superstars Taping #2,San Jose,California
Aug 12th 2013,WWE,Monday Night Raw,Sacramento,California
Aug 12th 2013,WWE,Superstars Taping #1,Sacramento,California
Aug 11th 2013,WWE,WWE Live,Oakland,California
Aug 5th 2013,WWE,Smackdown! Taping,Rockford,Illinois
Aug 5th 2013,WWE,Main Event Taping,Rockford,Illinois
Aug 5th 2013,WWE,Monday Night Raw,Green Bay,Wisconsin
Aug 4th 2013,WWE,Superstars Taping,Green Bay,Wisconsin
Aug 2nd 2013,WWE,WWE World Tour,Shanghai,Shanghai
Aug 2nd 2013,WWE,WWE World Tour,Johannesburg,Gauteng
Aug 1st 2013,WWE,WWE World Tour,Durban,KwaZulu-Natal
Jul 31st 2013,WWE,WWE World Tour,Cape Town,Western Cape
Jul 30th 2013,WWE,WWE World Tour,Cape Town,Western Cape
Jul 30th 2013,WWE,WWE World Tour,Perth,Western Australia
Jul 29th 2013,WWE,WWE World Tour,Adelaide,South Australia
Jul 28th 2013,WWE,WWE World Tour,Brisbane,Queensland
Jul 27th 2013,WWE,WWE World Tour,Sydney,New South Wales
Jul 27th 2013,WWE,WWE Live,Macon,Georgia
Jul 26th 2013,WWE,WWE Live,Atlanta,Georgia
Jul 26th 2013,WWE,WWE World Tour,Melbourne,Victoria
Jul 25th 2013,WWE,Smackdown! Taping,Houston,Texas
Jul 25th 2013,WWE,Main Event Taping,Houston,Texas
Jul 24th 2013,WWE,Smackdown! Taping,Corpus Christi,Texas
Jul 24th 2013,WWE,Superstars Taping,Corpus Christi,Texas
Jul 23rd 2013,WWE,Monday Night Raw Taping,Laredo,Texas
Jul 23rd 2013,WWE,Main Event Taping,Laredo,Texas
Jul 22nd 2013,WWE,Monday Night Raw,Austin,Texas
Jul 21st 2013,WWE,Superstars Taping,Austin,Texas
Jul 15th 2013,WWE,Smackdown! Taping,Providence,Rhode Island
Jul 15th 2013,WWE,Main Event Taping,Providence,Rhode Island
Jul 15th 2013,WWE,Monday Night Raw,Brooklyn,New York
Jul 14th 2013,WWE,Superstars Taping,Brooklyn,New York
Jul 14th 2013,WWE,Money in the Bank '13,Philadelphia,Pennsylvania
Jul 13th 2013,WWE,WWE Live,Trenton,New Jersey
Jul 9th 2013,WWE,Smackdown! Taping,Hampton,Virginia
Jul 9th 2013,WWE,Main Event Taping,Hampton,Virginia
Jul 8th 2013,WWE,Monday Night Raw,Baltimore,Maryland
Jul 8th 2013,WWE,Superstars Taping,Baltimore,Maryland
Jul 7th 2013,WWE,WWE Live,Wilkes-Barre,Pennsylvania
Jul 6th 2013,WWE,WWE Live,Ocean City,Maryland
Jul 6th 2013,WWE,WWE World Tour,Taipei,Taiwan
Jul 5th 2013,WWE,WWE Live,Wildwood,New Jersey
Jul 5th 2013,WWE,WWE World Tour,Tokyo,Tokyo
Jul 4th 2013,WWE,WWE World Tour,Tokyo,Tokyo
Jul 2nd 2013,WWE,Smackdown! Taping,Topeka,Kansas
Jul 2nd 2013,WWE,Main Event Taping,Topeka,Kansas
Jul 1st 2013,WWE,Monday Night Raw,Sioux City,Iowa
Jul 1st 2013,WWE,Superstars Taping,Sioux City,Iowa
Jun 30th 2013,WWE,WWE Live,Rochester,Minnesota
Jun 30th 2013,WWE,WWE Live,Sioux Falls,South Dakota
Jun 29th 2013,WWE,WWE Live,Fargo,North Dakota
Jun 29th 2013,WWE,WWE Live,Cedar Rapids,Iowa
Jun 28th 2013,WWE,WWE Live,Bismarck,North Dakota
Jun 25th 2013,WWE,Smackdown! Taping,Columbia,South Carolina
Jun 25th 2013,WWE,Main Event Taping,Columbia,South Carolina
Jun 24th 2013,WWE,Monday Night Raw,North Charleston,South Carolina
Jun 24th 2013,WWE,Superstars Taping,North Charleston,South Carolina
Jun 23rd 2013,WWE,WWE Live,Savannah,Georgia
Jun 23rd 2013,WWE,WWE Live,Albany,Georgia
Jun 22nd 2013,WWE,WWE Live,Tallahassee,Florida
Jun 22nd 2013,WWE,WWE Live,Daytona Beach,Florida
Jun 21st 2013,WWE,WWE Live,Mobile,Alabama
Jun 18th 2013,WWE,Smackdown! Taping,Dayton,Ohio
Jun 18th 2013,WWE,Main Event Taping,Dayton,Ohio
Jun 17th 2013,WWE,Monday Night Raw,Grand Rapids,Michigan
Jun 17th 2013,WWE,Superstars Taping,Grand Rapids,Michigan
Jun 16th 2013,WWE,Payback '13,Chicago,Illinois
Jun 15th 2013,WWE,WWE Live,Bloomington,Illinois
Jun 14th 2013,WWE,WWE Live,Terre Haute,Indiana
Jun 11th 2013,WWE,Smackdown! Taping,Greensboro,North Carolina
Jun 11th 2013,WWE,Main Event Taping,Greensboro,North Carolina
Jun 10th 2013,WWE,Monday Night Raw,Richmond,Virginia
Jun 10th 2013,WWE,Superstars Taping,Richmond,Virginia
Jun 9th 2013,WWE,WWE Live,Fayetteville,North Carolina
Jun 9th 2013,WWE,WWE Live,Jacksonville,Florida
Jun 8th 2013,WWE,WWE Live,Johnson City,Tennessee
Jun 8th 2013,WWE,WWE Live,Lakeland,Florida
Jun 7th 2013,WWE,WWE Live,Fort Lauderdale,Florida
Jun 4th 2013,WWE,Smackdown! Taping,Uniondale,New York
Jun 4th 2013,WWE,Main Event Taping,Uniondale,New York
Jun 3rd 2013,WWE,Monday Night Raw,Hartford,Connecticut
Jun 3rd 2013,WWE,Superstars Taping,Hartford,Connecticut
Jun 2nd 2013,WWE,WWE Live,Poughkeepsie,New York
Jun 2nd 2013,WWE,WWE Live,Augusta,Maine
Jun 1st 2013,WWE,WWE Live,Manchester,New Hampshire
Jun 1st 2013,WWE,WWE Live,Bethlehem,Pennsylvania
May 31st 2013,WWE,WWE Live,Glen Falls,New York
May 28th 2013,WWE,Smackdown! Taping,Edmonton,Alberta
May 28th 2013,WWE,Main Event Taping,Edmonton,Alberta
May 27th 2013,WWE,Monday Night Raw,Calgary,Alberta
May 27th 2013,WWE,Superstars Taping,Calgary,Alberta
May 26th 2013,WWE,WWE Smackdown Live,Medicine Hat,Alberta
May 26th 2013,WWE,WWE Raw Live,Lethbridge,Alberta
May 25th 2013,WWE,WWE Smackdown Live,Regina,Saskatchewan
May 25th 2013,WWE,WWE Raw Live,Red Deer,Alberta
May 24th 2013,WWE,WWE Raw Live,Salt Lake City,Utah
May 21st 2013,WWE,Smackdown! Taping,Omaha,Nebraska
May 21st 2013,WWE,Main Event Taping,Omaha,Nebraska
May 20th 2013,WWE,Monday Night Raw,Kansas City,Missouri
May 20th 2013,WWE,Superstars Taping,Kansas City,Missouri
May 19th 2013,WWE,Extreme Rules '13,St. Louis,Missouri
May 18th 2013,WWE,WWE Live,Evansville,Indiana
May 17th 2013,WWE,WWE Live,Bowling Green,Kentucky
May 14th 2013,WWE,Smackdown! Taping,Wichita,Kansas
May 14th 2013,WWE,Main Event Taping,Wichita,Kansas
May 13th 2013,WWE,Monday Night Raw,Tulsa,Oklahoma
May 13th 2013,WWE,Superstars Taping,Tulsa,Oklahoma
May 12th 2013,WWE,WWE Live (Raw),Fort Worth,Texas
May 12th 2013,WWE,WWE Live (Smackdown),Amarillo,Texas
May 11th 2013,WWE,WWE Live (Raw),Beaumont,Texas
May 11th 2013,WWE,WWE Live (Smackdown),Odessa,Texas
May 10th 2013,WWE,WWE Live (Raw),Shreveport,Louisiana
May 7th 2013,WWE,Smackdown! Taping,Raleigh,North Carolina
May 7th 2013,WWE,Main Event Taping,Raleigh,North Carolina
May 6th 2013,WWE,Monday Night Raw,Roanoke,Virginia
May 6th 2013,WWE,Superstars Taping,Roanoke,Virginia
May 5th 2013,WWE,WWE Live (Smackdown),Upper Marlboro,Maryland
May 5th 2013,WWE,WWE Live (Raw),Charleston,West Virginia
May 4th 2013,WWE,WWE Live (Smackdown),Reading,Pennsylvania
May 4th 2013,WWE,WWE Live (Raw),Wheeling,West Virginia
May 3rd 2013,WWE,WWE Live (Raw),Youngstown,Ohio
Apr 30th 2013,WWE,Smackdown! Taping,Detroit,Michigan
Apr 30th 2013,WWE,Main Event Taping,Detroit,Michigan
Apr 29th 2013,WWE,Monday Night Raw,Columbus,Ohio
Apr 29th 2013,WWE,Superstars Taping,Columbus,Ohio
Apr 28th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Smackdown),Cologne,North Rhine-Westphalia
Apr 27th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Raw),Lodz,Lodz Voivodeship
Apr 27th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Smackdown),Mannheim,Baden-Württemberg
Apr 26th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Smackdown),Trieste,Trieste
Apr 26th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Raw),Moscow,Central
Apr 25th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Raw),St. Petersburg,Northwestern
Apr 25th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Smackdown),Bologna,Emilia-Romagna
Apr 24th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Smackdown),Amneville,Lorraine
Apr 24th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Raw),Liège,Liège
Apr 23rd 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Raw),Nottingham,England
Apr 23rd 2013,WWE,Smackdown! Taping,London,England
Apr 23rd 2013,WWE,Main Event Taping,London,England
Apr 23rd 2013,WWE,Saturday Morning Slam Taping,London,England
Apr 22nd 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Smackdown),Cardiff,Wales
Apr 22nd 2013,WWE,Monday Night Raw Taping,London,England
Apr 22nd 2013,WWE,Superstars Taping,London,England
Apr 21st 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Smackdown),Sheffield,England
Apr 21st 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Raw),Geneva,Romandy
Apr 20th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Raw),Paris,Ile-de-France
Apr 20th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Smackdown),Birmingham,England
Apr 19th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Smackdown),Newcastle-upon-Tyne,England
Apr 19th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Raw),Dublin,Leinster
Apr 18th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Raw),Belfast,Northern Ireland
Apr 18th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Smackdown),Glasgow,Scotland
Apr 17th 2013,WWE,WWE Live - Wrestlemania Revenge Tour (Raw),Rotterdam,South Holland
Apr 16th 2013,WWE,Smackdown! Taping,Knoxville,Tennessee
Apr 16th 2013,WWE,Saturday Morning Slam Taping,Knoxville,Tennessee
Apr 16th 2013,WWE,Main Event Taping,Knoxville,Tennessee
Apr 15th 2013,WWE,Monday Night Raw,Greenville,South Carolina
Apr 15th 2013,WWE,Superstars Taping,Greenville,South Carolina
Apr 9th 2013,WWE,Smackdown! Taping,Boston,Massachusetts
Apr 9th 2013,WWE,Saturday Morning Slam Taping,Boston,Massachusetts
Apr 9th 2013,WWE,Main Event Taping,Boston,Massachusetts
Apr 8th 2013,WWE,Monday Night Raw,East Rutherford,New Jersey
Apr 8th 2013,WWE,Superstars Taping,East Rutherford,New Jersey
Apr 7th 2013,WWE,WrestleMania 29,East Rutherford,New Jersey
Apr 6th 2013,WWE,WrestleMania Axxess '13 - Day 3,East Rutherford,New Jersey
Apr 5th 2013,WWE,WrestleMania Axxess '13 - Day 2,East Rutherford,New Jersey
Apr 4th 2013,WWE,WrestleMania Axxess '13 - Day 1,East Rutherford,New Jersey
Apr 1st 2013,WWE,Monday Night Raw,Washington,DC
Apr 1st 2013,WWE,Smackdown! Taping,Washington,DC
Apr 1st 2013,WWE,Main Event Taping,Washington,DC
Apr 1st 2013,WWE,Saturday Morning Slam Taping,Washington,DC
Apr 1st 2013,WWE,Superstars Taping,Washington,DC
Mar 31st 2013,WWE,WWE Live - Road To Wrestlemania,White Plains,New York
Mar 30th 2013,WWE,WWE Live - Road To Wrestlemania,Atlantic City,New Jersey
Mar 29th 2013,WWE,WWE Live - Road To Wrestlemania,Springfield,Massachusetts
Mar 26th 2013,WWE,Smackdown! Taping,Hershey,Pennsylvania
Mar 26th 2013,WWE,Saturday Morning Slam Taping,Hershey,Pennsylvania
Mar 26th 2013,WWE,Main Event Taping,Hershey,Pennsylvania
Mar 25th 2013,WWE,Monday Night Raw,Philadelphia,Pennsylvania
Mar 25th 2013,WWE,Superstars Taping,Philadelphia,Pennsylvania
Mar 24th 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Salisbury,Maryland
Mar 24th 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Baltimore,Maryland
Mar 23rd 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Norfolk,Virginia
Mar 23rd 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Fairfax,Virginia
Mar 22nd 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Charlottesville,Virginia
Mar 19th 2013,WWE,Smackdown! Taping,Cincinnati,Ohio
Mar 19th 2013,WWE,Saturday Morning Slam Taping,Cincinnati,Ohio
Mar 19th 2013,WWE,Main Event Taping,Cincinnati,Ohio
Mar 18th 2013,WWE,Monday Night Raw,Pittsburgh,Pennsylvania
Mar 18th 2013,WWE,Superstars Taping,Pittsburgh,Pennsylvania
Mar 17th 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Binghamton,New York
Mar 17th 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Toledo,Ohio
Mar 16th 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Providence,Rhode Island
Mar 16th 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Hammond,Indiana
Mar 15th 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Bridgeport,Connecticut
Mar 12th 2013,WWE,Smackdown! Taping,Fort Wayne,Indiana
Mar 12th 2013,WWE,Saturday Morning Slam Taping,Fort Wayne,Indiana
Mar 12th 2013,WWE,Main Event Taping,Fort Wayne,Indiana
Mar 11th 2013,WWE,Monday Night Raw,Indianapolis,Indiana
Mar 11th 2013,WWE,Superstars Taping,Indianapolis,Indiana
Mar 10th 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Loveland,Colorado
Mar 10th 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Milwaukee,Wisconsin
Mar 9th 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Broomfield,Colorado
Mar 9th 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),La Crosse,Wisconsin
Mar 8th 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Colorado Springs,Colorado
Mar 5th 2013,WWE,Smackdown! Taping,Albany,New York
Mar 5th 2013,WWE,Saturday Morning Slam Taping,Albany,New York
Mar 5th 2013,WWE,Main Event Taping,Albany,New York
Mar 4th 2013,WWE,Monday Night Raw,Buffalo,New York
Mar 4th 2013,WWE,Superstars Taping,Buffalo,New York
Mar 3rd 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Syracuse,New York
Mar 3rd 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Cleveland,Ohio
Mar 2nd 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Kalamazoo,Michigan
Mar 2nd 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Kingston,Ontario
Mar 1st 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Toronto,Ontario
Feb 26th 2013,WWE,Smackdown! Taping,Oklahoma City,Oklahoma
Feb 26th 2013,WWE,Saturday Morning Slam Taping,Oklahoma City,Oklahoma
Feb 26th 2013,WWE,Main Event Taping,Oklahoma City,Oklahoma
Feb 25th 2013,WWE,Monday Night Raw,Dallas,Texas
Feb 25th 2013,WWE,Superstars Taping,Dallas,Texas
Feb 24th 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),College Station,Texas
Feb 23rd 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Waco,Texas
Feb 23rd 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Istanbul,Istanbul
Feb 22nd 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Doha,Doha
Feb 21st 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Doha,Doha
Feb 19th 2013,WWE,Smackdown! Taping,Biloxi,Mississippi
Feb 19th 2013,WWE,Main Event Taping,Biloxi,Mississippi
Feb 19th 2013,WWE,Superstars Taping,Biloxi,Mississippi
Feb 18th 2013,WWE,Monday Night Raw,Lafayette,Louisiana
Feb 18th 2013,WWE,Saturday Morning Slam Taping,Lafayette,Louisiana
Feb 17th 2013,WWE,Elimination Chamber '13,New Orleans,Louisiana
Feb 12th 2013,WWE,Smackdown! Taping,Little Rock,Arkansas
Feb 12th 2013,WWE,Saturday Morning Slam Taping,Little Rock,Arkansas
Feb 12th 2013,WWE,Main Event Taping,Little Rock,Arkansas
Feb 11th 2013,WWE,Monday Night Raw,Nashville,Tennessee
Feb 11th 2013,WWE,Superstars Taping,Nashville,Tennessee
Feb 10th 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Louisville,Kentucky
Feb 10th 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Cape Girardeau,Missouri
Feb 9th 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Springfield,Missouri
Feb 9th 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Champaign,Illinois
Feb 8th 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Poplar Bluff,Missouri
Feb 5th 2013,WWE,Smackdown! Taping,Jacksonville,Florida
Feb 5th 2013,WWE,Main Event Taping,Jacksonville,Florida
Feb 5th 2013,WWE,Saturday Morning Slam Taping,Jacksonville,Florida
Feb 4th 2013,WWE,Monday Night Raw,Atlanta,Georgia
Feb 4th 2013,WWE,Superstars Taping,Atlanta,Georgia
Feb 3rd 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Augusta,Georgia
Feb 3rd 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Birmingham,Alabama
Feb 2nd 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Montgomery,Alabama
Feb 2nd 2013,WWE,WWE Live - Road To Wrestlemania (Smackdown),Greenville,North Carolina
Feb 1st 2013,WWE,WWE Live - Road To Wrestlemania (Raw),Chattanooga,Tennessee
Jan 29th 2013,WWE,Smackdown! Taping,San Diego,California
Jan 29th 2013,WWE,Main Event Taping,San Diego,California
Jan 29th 2013,WWE,Saturday Morning Slam Taping,San Diego,California
Jan 28th 2013,WWE,Monday Night Raw,Las Vegas,Nevada
Jan 28th 2013,WWE,Superstars Taping,Las Vegas,Nevada
Jan 27th 2013,WWE,Royal Rumble '13,Phoenix,Arizona
Jan 26th 2013,WWE,Royal Rumble Fan Axxess,Phoenix,Arizona
