Date,Promotion,Event Name,Location 1,Location 2
Feb 28th 2016,WWE,WWE Live - Road To Wrestlemania,Evansville,Indiana
Feb 27th 2016,WWE,WWE Live - Road To Wrestlemania,Cape Girardeau,Missouri
Feb 27th 2016,WWE,WWE Live - Road To Wrestlemania,Louisville,Kentucky
Feb 26th 2016,WWE,WWE Live - Road To Wrestlemania,Albany,New York
Feb 23rd 2016,WWE,Smackdown Taping,Indianapolis,Indiana
Feb 23rd 2016,WWE,Main Event Taping,Indianapolis,Indiana
Feb 22nd 2016,WWE,Monday Night Raw,Detroit,Michigan
Feb 22nd 2016,WWE,Superstars Taping,Detroit,Michigan
Feb 21st 2016,WWE,Fastlane '16,Cleveland,Ohio
Feb 20th 2016,WWE,WWE Live - Road To Wrestlemania,Youngstown,Ohio
Feb 16th 2016,WWE,Smackdown Taping,Ontario,California
Feb 16th 2016,WWE,Main Event Taping,Ontario,California
Feb 15th 2016,WWE,Monday Night Raw,Anaheim,California
Feb 15th 2016,WWE,Superstars Taping,Anaheim,California
Feb 14th 2016,WWE,WWE Live - Road To Wrestlemania,Bakersfield,California
Feb 13th 2016,WWE,WWE Live - Road To Wrestlemania,Fresno,California
Feb 11th 2016,WWE,WWE Live - Road To Wrestlemania,Cologne,North Rhine-Westphalia
Feb 10th 2016,WWE,WWE Live - Road To WrestleMania,Bremen,Bremen
Feb 9th 2016,WWE,Smackdown Taping,Portland,Oregon
Feb 9th 2016,WWE,Main Event Taping,Portland,Oregon
Feb 8th 2016,WWE,Monday Night Raw,Seattle,Washington
Feb 8th 2016,WWE,Superstars Taping,Seattle,Washington
Feb 7th 2016,WWE,WWE Live - Road To Wrestlemania,Abbotsford,British Columbia
Feb 6th 2016,WWE,WWE Live - Road To Wrestlemania,San Jose,California
Feb 6th 2016,WWE,WWE Live - Road To Wrestlemania,Penticton,British Columbia
Feb 5th 2016,WWE,WWE Live - Road To WrestleMania,Calgary,Alberta
Feb 2nd 2016,WWE,Smackdown Taping,Memphis,Tennessee
Feb 2nd 2016,WWE,Main Event Taping,Memphis,Tennessee
Feb 1st 2016,WWE,Monday Night Raw,Birmingham,Alabama
Feb 1st 2016,WWE,Superstars Taping,Birmingham,Alabama
Jan 31st 2016,WWE,WWE Live - Road To Wrestlemania,Columbus,Georgia
Jan 31st 2016,WWE,WWE Live - Road To Wrestlemania,Tupelo,Mississippi
Jan 30th 2016,WWE,WWE Live - Road To WrestleMania,Chattanooga,Tennessee
Jan 30th 2016,WWE,WWE Live - Road To WrestleMania,Macon,Georgia
Jan 26th 2016,WWE,Smackdown Taping,Tampa,Florida
Jan 26th 2016,WWE,Main Event Taping,Tampa,Florida
Jan 25th 2016,WWE,Monday Night Raw,Miami,Florida
Jan 25th 2016,WWE,Superstars Taping,Miami,Florida
Jan 24th 2016,WWE,Royal Rumble '16,Orlando,Florida
